CKPG; GICS Industry;INDUSTRIA;Classificação; GICS Sector;SETOR
Waste Management;Metals & Mining;Metais e Mineração;Primário;Materials;Materiais
Furniture and general manufacturing;Commercial Services & Supplies;Serviços e Suprimentos Comerciais;Terciário;Industrials;Industriais
Machinery manufacturing;Electrical Equipment;Equipamentos Elétricos;Secundário;Industrials;Industriais
Transit and ground transportation;Transportation Infrastructure;Infraestrutura de Transporte;Secundário;Industrials;Industriais
Banks;Banks;Bancos;Terciário;Financials;Financeiro
Electrical equipment manufacturing;Electrical Equipment;Equipamentos Elétricos;Secundário;Industrials;Industriais
Food and beverage manufacturing;Chemicals;Químicos;Secundário;Materials;Materiais
Business, engineering and personal services;Construction & Engineering;Construção e Engenharia;Secundário;Industrials;Industriais
Semiconductor and electronic components manufacturing;Semiconductors & Semiconductor Equipment;Semicondutores e Equipamentos Semicondutores;Secundário;Information Technology;Tecnologia da Informação
IT services except telecom and hosting;Software;Software;Terciário;Information Technology;Tecnologia da Informação
Waste Management;Commercial Services & Supplies;Serviços e Suprimentos Comerciais;Terciário;Industrials;Industriais
Telephones and telecom equip manufacturing;Communications Equipment;Equipamentos de Comunicação;Secundário;Information Technology;Tecnologia da Informação
Semiconductor and electronic components manufacturing;Electrical Equipment;Equipamentos Elétricos;Secundário;Industrials;Industriais
Power Generation;Electric Utilities;Serviços Públicos de Energia Elétrica;Primário e Secundário;Utilities;Utilidades
Non-road transport equipment manufacturing;Machinery;Máquinas;Secundário;Industrials;Industriais
Refining, petrochemicals and basic organic chemicals;Oil, Gas & Consumable Fuels;Petróleo, Gás e Combustíveis Consumíveis;Primário;Energy;Energia
Non-road transport equipment manufacturing;Leisure Products;Produtos de Lazer;Secundário;Consumer Discretionary;Bens de Consumo Não Duráveis
Real estate and leasing;Real Estate Management & Development;Gestão e Desenvolvimento Imobiliário;Terciário;Real Estate;Imobiliário
HVAC equipment manufacturing;Building Products;Produtos para Construção;Secundário;Industrials;Industriais
Water and sewage treatment;Water Utilities;Serviços de água;Terciário;Utilities;Utilidades
Cars and trucks manufacturing, including parts;Automobiles;Automóveis;Secundário;Consumer Discretionary;Bens de Consumo Não Duráveis
Asset management;Metals & Mining;Metais e Mineração;Primário;Financials;Financeiro
Power Generation;Independent Power and Renewable Electricity Producers;Produtores Independentes de Energia e Energia Renovável;Primário;Utilities;Utilidades
Grocery stores;Food & Staples Retailing;Varejo de Alimentos e Produtos Básicos;Terciário;Consumer Staples;Bens de Consumo Duráveis
Power transmission and distribution;Electric Utilities;Serviços Públicos de Energia Elétrica;Primário e Secundário;Utilities;Utilidades
Electrical equipment manufacturing;Machinery;Máquinas;Secundário;Industrials;Industriais
Pharmaceutical and biotech manufacturing;Pharmaceuticals;Farmacêuticos;Secundário;Health Care;Saúde
Insurance companies;Insurance;Seguros;Terciário;Financials;Financeiro
Packaging;Containers & Packaging;Contêineres e Embalagens;Secundário;Materials;Materiais
Computers and peripherals manufacturing;IT Services;Serviços de TI;Terciário;Information Technology;Tecnologia da Informação
Non-road transport equipment manufacturing;Automobiles;Automóveis;Secundário;Consumer Discretionary;Bens de Consumo Não Duráveis
Retail, except grocery and auto;Textiles, Apparel & Luxury Goods;Têxteis, Vestuário e Bens de Luxo;Secundário;Consumer Discretionary;Bens de Consumo Não Duráveis
Basic inorganic chemicals and synthetics;Chemicals;Químicos;Secundário;Materials;Materiais
Food and beverage manufacturing;Food Products;Produtos Alimentícios;Secundário;Consumer Staples;Bens de Consumo Duráveis
Telecom providers;Diversified Telecommunication Services;Serviços de Telecomunicações Diversificados;Terciário;Communication Services;Serviços de Comunicação
Banks;Capital Markets;Mercados de Capitais;Terciário;Financials;Financeiro
Textiles and clothing manufacturing;Textiles, Apparel & Luxury Goods;Têxteis, Vestuário e Bens de Luxo;Secundário;Consumer Discretionary;Bens de Consumo Não Duráveis
Semiconductor and electronic components manufacturing;Electronic Equipment, Instruments & Components;Equipamentos, Instrumentos e Componentes Eletrônicos;Secundário;Information Technology;Tecnologia da Informação
Pharmaceutical and biotech manufacturing;Chemicals;Químicos;Secundário;Materials;Materiais
Appliances and lighting fixtures manufacturing;Household Durables;Bens Duráveis para o Lar;Secundário;Consumer Discretionary;Bens de Consumo Não Duráveis
Plastic and rubber product manufacturing;Auto Components;Componentes Automotivos;Secundário;Consumer Discretionary;Bens de Consumo Não Duráveis
Glass and ceramics;Semiconductors & Semiconductor Equipment;Semicondutores e Equipamentos Semicondutores;Secundário;Information Technology;Tecnologia da Informação
Computers and peripherals manufacturing;Technology Hardware, Storage & Peripherals;Hardware, Armazenamento e Periféricos de Tecnologia;Secundário;Information Technology;Tecnologia da Informação
Packaging;Household Products;Produtos Domésticos;Secundário;Consumer Staples;Bens de Consumo Duráveis
Data processing, hosting services;Equity Real Estate Investment Trusts (REITs);Fundos de Investimento Imobiliário;Terciário;Information Technology;Tecnologia da Informação
Real estate and leasing;Equity Real Estate Investment Trusts (REITs);Fundos de Investimento Imobiliário;Terciário;Real Estate;Imobiliário
Telephones and telecom equip manufacturing;Technology Hardware, Storage & Peripherals;Hardware, Armazenamento e Periféricos de Tecnologia;Secundário;Information Technology;Tecnologia da Informação
Telecom providers;Media;Mídia;Terciário;Communication Services;Serviços de Comunicação
Personal products (retail chemical);Personal Products;Produtos Pessoais;Secundário;Consumer Staples;Bens de Consumo Duráveis
Medical equipment manufacturing;Health Care Equipment & Supplies;Equipamentos e Suprimentos para Saúde;Secundário;Health Care;Saúde
Telecom providers;Wireless Telecommunication Services;Serviços de Telecomunicações Sem Fio;Terciário;Communication Services;Serviços de Comunicação
Personal products (retail chemical);Household Products;Produtos Domésticos;Secundário;Consumer Staples;Bens de Consumo Duráveis
Metal and coal mining;Metals & Mining;Metais e Mineração;Primário;Materials;Materiais
Asset management;Capital Markets;Mercados de Capitais;Terciário;Financials;Financeiro
Instrumentation and other electronic manufacturing;Health Care Equipment & Supplies;Equipamentos e Suprimentos para Saúde;Secundário;Health Care;Saúde
